MSigDB_Set_Name	GO_Term_ID	GO_Term_Original_Name
GOMF_SUCCINATE_DEHYDROGENASE_ACTIVITY	GO:0000104	succinate dehydrogenase activity
GOCC_NUCLEOTIDE_EXCISION_REPAIR_COMPLEX	GO:0000109	nucleotide-excision repair complex
GOCC_HISTONE_DEACETYLASE_COMPLEX	GO:0000118	histone deacetylase complex
GOBP_NEGATIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_II	GO:0000122	negative regulation of transcription by RNA polymerase II
GOCC_SAGA_COMPLEX	GO:0000124	SAGA complex
GOCC_PCAF_COMPLEX	GO:0000125	PCAF complex
GOCC_TRANSCRIPTION_FACTOR_TFIIIC_COMPLEX	GO:0000127	transcription factor TFIIIC complex
GOBP_ESTABLISHMENT_OF_MITOTIC_SPINDLE_ORIENTATION	GO:0000132	establishment of mitotic spindle orientation
GOCC_GOLGI_CIS_CISTERNA	GO:0000137	Golgi cis cisterna
GOCC_GOLGI_TRANS_CISTERNA	GO:0000138	Golgi trans cisterna
GOCC_EXOCYST	GO:0000145	exocyst
GOMF_MICROFILAMENT_MOTOR_ACTIVITY	GO:0000146	microfilament motor activity
GOMF_SNARE_BINDING	GO:0000149	SNARE binding
GOCC_UBIQUITIN_LIGASE_COMPLEX	GO:0000151	ubiquitin ligase complex
GOCC_NUCLEAR_UBIQUITIN_LIGASE_COMPLEX	GO:0000152	nuclear ubiquitin ligase complex
GOCC_CYTOPLASMIC_UBIQUITIN_LIGASE_COMPLEX	GO:0000153	cytoplasmic ubiquitin ligase complex
GOBP_RRNA_MODIFICATION	GO:0000154	rRNA modification
GOCC_PROTEIN_PHOSPHATASE_TYPE_2A_COMPLEX	GO:0000159	protein phosphatase type 2A complex
GOCC_PROTEIN_PHOSPHATASE_TYPE_1_COMPLEX	GO:0000164	protein phosphatase type 1 complex
GOBP_MAPK_CASCADE	GO:0000165	MAPK cascade
GOCC_RIBONUCLEASE_MRP_COMPLEX	GO:0000172	ribonuclease MRP complex
GOCC_NUCLEAR_EXOSOME_RNASE_COMPLEX	GO:0000176	nuclear exosome (RNase complex)
GOCC_CYTOPLASMIC_EXOSOME_RNASE_COMPLEX	GO:0000177	cytoplasmic exosome (RNase complex)
GOMF_RDNA_BINDING	GO:0000182	rDNA binding
GOBP_RDNA_HETEROCHROMATIN_ASSEMBLY	GO:0000183	rDNA heterochromatin assembly
GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_NONSENSE_MEDIATED_DECAY	GO:0000184	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay
GOBP_ACTIVATION_OF_MAPKKK_ACTIVITY	GO:0000185	activation of MAPKKK activity
GOBP_ACTIVATION_OF_MAPKK_ACTIVITY	GO:0000186	activation of MAPKK activity
GOBP_ACTIVATION_OF_MAPK_ACTIVITY	GO:0000187	activation of MAPK activity
GOBP_INACTIVATION_OF_MAPK_ACTIVITY	GO:0000188	inactivation of MAPK activity
GOBP_PROTEIN_POLYUBIQUITINATION	GO:0000209	protein polyubiquitination
GOBP_MEIOTIC_SPINDLE_ORGANIZATION	GO:0000212	meiotic spindle organization
GOMF_DNA_SECONDARY_STRUCTURE_BINDING	GO:0000217	DNA secondary structure binding
GOBP_MICROTUBULE_CYTOSKELETON_ORGANIZATION	GO:0000226	microtubule cytoskeleton organization
GOCC_NUCLEAR_CHROMOSOME	GO:0000228	nuclear chromosome
GOCC_PERICENTRIOLAR_MATERIAL	GO:0000242	pericentriolar material
GOCC_COMMITMENT_COMPLEX	GO:0000243	commitment complex
GOBP_SPLICEOSOMAL_TRI_SNRNP_COMPLEX_ASSEMBLY	GO:0000244	spliceosomal tri-snRNP complex assembly
GOBP_SPLICEOSOMAL_COMPLEX_ASSEMBLY	GO:0000245	spliceosomal complex assembly
GOMF_3_KETO_STEROL_REDUCTASE_ACTIVITY	GO:0000253	3-keto sterol reductase activity
GOBP_MITOCHONDRIAL_FISSION	GO:0000266	mitochondrial fission
GOMF_PEROXISOME_TARGETING_SEQUENCE_BINDING	GO:0000268	peroxisome targeting sequence binding
GOBP_PEPTIDOGLYCAN_METABOLIC_PROCESS	GO:0000270	peptidoglycan metabolic process
GOBP_POLYSACCHARIDE_BIOSYNTHETIC_PROCESS	GO:0000271	polysaccharide biosynthetic process
GOBP_POLYSACCHARIDE_CATABOLIC_PROCESS	GO:0000272	polysaccharide catabolic process
GOCC_MITOCHONDRIAL_PROTON_TRANSPORTING_ATP_SYNTHASE_COMPLEX_CATALYTIC_SECTOR_F_1	GO:0000275	mitochondrial proton-transporting ATP synthase complex, catalytic sector F(1)
GOCC_MITOCHONDRIAL_PROTON_TRANSPORTING_ATP_SYNTHASE_COMPLEX_COUPLING_FACTOR_F_O	GO:0000276	mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)
GOBP_MITOTIC_CELL_CYCLE	GO:0000278	mitotic cell cycle
GOBP_MITOTIC_CYTOKINESIS	GO:0000281	mitotic cytokinesis
GOMF_MAGNESIUM_ION_BINDING	GO:0000287	magnesium ion binding
GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_DEADENYLATION_DEPENDENT_DECAY	GO:0000288	nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay
GOBP_NUCLEAR_TRANSCRIBED_MRNA_POLY_A_TAIL_SHORTENING	GO:0000289	nuclear-transcribed mRNA poly(A) tail shortening
GOBP_DEADENYLATION_DEPENDENT_DECAPPING_OF_NUCLEAR_TRANSCRIBED_MRNA	GO:0000290	deadenylation-dependent decapping of nuclear-transcribed mRNA
GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_EXONUCLEOLYTIC	GO:0000291	nuclear-transcribed mRNA catabolic process, exonucleolytic
GOMF_ENDOPOLYPHOSPHATASE_ACTIVITY	GO:0000298	endopolyphosphatase activity
GOBP_RESPONSE_TO_REACTIVE_OXYGEN_SPECIES	GO:0000302	response to reactive oxygen species
GOBP_RESPONSE_TO_OXYGEN_RADICAL	GO:0000305	response to oxygen radical
GOCC_CYCLIN_DEPENDENT_PROTEIN_KINASE_HOLOENZYME_COMPLEX	GO:0000307	cyclin-dependent protein kinase holoenzyme complex
GOCC_ORGANELLAR_RIBOSOME	GO:0000313	organellar ribosome
GOBP_PROTEIN_DENEDDYLATION	GO:0000338	protein deneddylation
GOMF_RNA_CAP_BINDING	GO:0000339	RNA cap binding
GOMF_RNA_7_METHYLGUANOSINE_CAP_BINDING	GO:0000340	RNA 7-methylguanosine cap binding
GOCC_TRANSCRIPTION_EXPORT_COMPLEX	GO:0000346	transcription export complex
GOCC_THO_COMPLEX	GO:0000347	THO complex
GOBP_FORMATION_OF_QUADRUPLE_SL_U4_U5_U6_SNRNP	GO:0000353	formation of quadruple SL/U4/U5/U6 snRNP
GOBP_RNA_SPLICING_VIA_TRANSESTERIFICATION_REACTIONS	GO:0000375	RNA splicing, via transesterification reactions
GOBP_ALTERNATIVE_MRNA_SPLICING_VIA_SPLICEOSOME	GO:0000380	alternative mRNA splicing, via spliceosome
GOBP_REGULATION_OF_ALTERNATIVE_MRNA_SPLICING_VIA_SPLICEOSOME	GO:0000381	regulation of alternative mRNA splicing, via spliceosome
GOBP_SPLICEOSOMAL_SNRNP_ASSEMBLY	GO:0000387	spliceosomal snRNP assembly
GOBP_MRNA_3_SPLICE_SITE_RECOGNITION	GO:0000389	mRNA 3'-splice site recognition
GOBP_SPLICEOSOMAL_CONFORMATIONAL_CHANGES_TO_GENERATE_CATALYTIC_CONFORMATION	GO:0000393	spliceosomal conformational changes to generate catalytic conformation
GOBP_RNA_SPLICING_VIA_ENDONUCLEOLYTIC_CLEAVAGE_AND_LIGATION	GO:0000394	RNA splicing, via endonucleolytic cleavage and ligation
GOBP_MRNA_5_SPLICE_SITE_RECOGNITION	GO:0000395	mRNA 5'-splice site recognition
GOMF_FOUR_WAY_JUNCTION_DNA_BINDING	GO:0000400	four-way junction DNA binding
GOMF_Y_FORM_DNA_BINDING	GO:0000403	Y-form DNA binding
GOMF_BUBBLE_DNA_BINDING	GO:0000405	bubble DNA binding
GOCC_PHAGOPHORE_ASSEMBLY_SITE	GO:0000407	phagophore assembly site
GOCC_EKC_KEOPS_COMPLEX	GO:0000408	EKC/KEOPS complex
GOBP_PROTEIN_PEPTIDYL_PROLYL_ISOMERIZATION	GO:0000413	protein peptidyl-prolyl isomerization
GOBP_REGULATION_OF_HISTONE_H3_K36_METHYLATION	GO:0000414	regulation of histone H3-K36 methylation
GOCC_AUTOPHAGOSOME_MEMBRANE	GO:0000421	autophagosome membrane
GOBP_AUTOPHAGY_OF_MITOCHONDRION	GO:0000422	autophagy of mitochondrion
GOBP_MITOPHAGY	GO:0000423	mitophagy
GOBP_ENDONUCLEOLYTIC_CLEAVAGE_IN_ITS1_TO_SEPARATE_SSU_RRNA_FROM_5_8S_RRNA_AND_LSU_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA	GO:0000447	endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GOBP_ENZYME_DIRECTED_RRNA_PSEUDOURIDINE_SYNTHESIS	GO:0000455	enzyme-directed rRNA pseudouridine synthesis
GOBP_MATURATION_OF_5_8S_RRNA	GO:0000460	maturation of 5.8S rRNA
GOBP_MATURATION_OF_SSU_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA	GO:0000462	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GOBP_MATURATION_OF_LSU_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA	GO:0000463	maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GOBP_MATURATION_OF_5_8S_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA	GO:0000466	maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GOBP_CLEAVAGE_INVOLVED_IN_RRNA_PROCESSING	GO:0000469	cleavage involved in rRNA processing
GOBP_MATURATION_OF_LSU_RRNA	GO:0000470	maturation of LSU-rRNA
GOBP_ENDONUCLEOLYTIC_CLEAVAGE_INVOLVED_IN_RRNA_PROCESSING	GO:0000478	endonucleolytic cleavage involved in rRNA processing
GOBP_ENDONUCLEOLYTIC_CLEAVAGE_IN_5_ETS_OF_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA	GO:0000480	endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GOBP_SMALL_NUCLEOLAR_RIBONUCLEOPROTEIN_COMPLEX_ASSEMBLY	GO:0000491	small nucleolar ribonucleoprotein complex assembly
GOBP_BOX_C_D_SNORNP_ASSEMBLY	GO:0000492	box C/D snoRNP assembly
GOCC_GLYCOSYLPHOSPHATIDYLINOSITOL_N_ACETYLGLUCOSAMINYLTRANSFERASE_GPI_GNT_COMPLEX	GO:0000506	glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex
GOBP_EMBRYONIC_AXIS_SPECIFICATION	GO:0000578	embryonic axis specification
GOBP_MEIOTIC_MISMATCH_REPAIR	GO:0000710	meiotic mismatch repair
GOBP_RESOLUTION_OF_MEIOTIC_RECOMBINATION_INTERMEDIATES	GO:0000712	resolution of meiotic recombination intermediates
GOBP_NUCLEOTIDE_EXCISION_REPAIR_DNA_DAMAGE_RECOGNITION	GO:0000715	nucleotide-excision repair, DNA damage recognition
GOBP_NUCLEOTIDE_EXCISION_REPAIR_DNA_DUPLEX_UNWINDING	GO:0000717	nucleotide-excision repair, DNA duplex unwinding
GOBP_TELOMERE_MAINTENANCE_VIA_RECOMBINATION	GO:0000722	telomere maintenance via recombination
GOBP_RECOMBINATIONAL_REPAIR	GO:0000725	recombinational repair
GOBP_NON_RECOMBINATIONAL_REPAIR	GO:0000726	non-recombinational repair
GOBP_DOUBLE_STRAND_BREAK_REPAIR_VIA_BREAK_INDUCED_REPLICATION	GO:0000727	double-strand break repair via break-induced replication
GOBP_DNA_DOUBLE_STRAND_BREAK_PROCESSING	GO:0000729	DNA double-strand break processing
GOBP_DNA_SYNTHESIS_INVOLVED_IN_DNA_REPAIR	GO:0000731	DNA synthesis involved in DNA repair
GOBP_DNA_STRAND_RENATURATION	GO:0000733	DNA strand renaturation
GOBP_DNA_CATABOLIC_PROCESS_ENDONUCLEOLYTIC	GO:0000737	DNA catabolic process, endonucleolytic
GOBP_DNA_CATABOLIC_PROCESS_EXONUCLEOLYTIC	GO:0000738	DNA catabolic process, exonucleolytic
GOMF_ADENYL_NUCLEOTIDE_EXCHANGE_FACTOR_ACTIVITY	GO:0000774	adenyl-nucleotide exchange factor activity
GOCC_CHROMOSOME_CENTROMERIC_REGION	GO:0000775	chromosome, centromeric region
GOCC_KINETOCHORE	GO:0000776	kinetochore
GOCC_CONDENSED_NUCLEAR_CHROMOSOME_KINETOCHORE	GO:0000778	condensed nuclear chromosome kinetochore
GOCC_CONDENSED_CHROMOSOME_CENTROMERIC_REGION	GO:0000779	condensed chromosome, centromeric region
GOCC_CHROMOSOME_TELOMERIC_REGION	GO:0000781	chromosome, telomeric region
GOCC_TELOMERE_CAP_COMPLEX	GO:0000782	telomere cap complex
GOCC_CHROMATIN	GO:0000785	chromatin
GOCC_EUCHROMATIN	GO:0000791	euchromatin
GOCC_HETEROCHROMATIN	GO:0000792	heterochromatin
GOCC_CONDENSED_CHROMOSOME	GO:0000793	condensed chromosome
GOCC_CONDENSED_NUCLEAR_CHROMOSOME	GO:0000794	condensed nuclear chromosome
GOCC_CONDENSIN_COMPLEX	GO:0000796	condensin complex
GOCC_NUCLEAR_COHESIN_COMPLEX	GO:0000798	nuclear cohesin complex
GOCC_LATERAL_ELEMENT	GO:0000800	lateral element
GOCC_CENTRAL_ELEMENT	GO:0000801	central element
GOCC_SEX_CHROMOSOME	GO:0000803	sex chromosome
GOCC_X_CHROMOSOME	GO:0000805	X chromosome
GOCC_ORIGIN_RECOGNITION_COMPLEX	GO:0000808	origin recognition complex
GOCC_SWR1_COMPLEX	GO:0000812	Swr1 complex
GOCC_ESCRT_I_COMPLEX	GO:0000813	ESCRT I complex
GOCC_ESCRT_III_COMPLEX	GO:0000815	ESCRT III complex
GOBP_SISTER_CHROMATID_SEGREGATION	GO:0000819	sister chromatid segregation
GOBP_REGULATION_OF_GLUTAMINE_FAMILY_AMINO_ACID_METABOLIC_PROCESS	GO:0000820	regulation of glutamine family amino acid metabolic process
GOMF_INOSITOL_HEXAKISPHOSPHATE_KINASE_ACTIVITY	GO:0000828	inositol hexakisphosphate kinase activity
GOMF_INOSITOL_HEXAKISPHOSPHATE_5_KINASE_ACTIVITY	GO:0000832	inositol hexakisphosphate 5-kinase activity
GOCC_ER_UBIQUITIN_LIGASE_COMPLEX	GO:0000835	ER ubiquitin ligase complex
GOCC_HRD1P_UBIQUITIN_LIGASE_ERAD_L_COMPLEX	GO:0000839	Hrd1p ubiquitin ligase ERAD-L complex
GOMF_TRANSLATION_REPRESSOR_ACTIVITY_MRNA_REGULATORY_ELEMENT_BINDING	GO:0000900	translation repressor activity, mRNA regulatory element binding
GOBP_CELL_MORPHOGENESIS	GO:0000902	cell morphogenesis
GOBP_CELL_MORPHOGENESIS_INVOLVED_IN_DIFFERENTIATION	GO:0000904	cell morphogenesis involved in differentiation
GOBP_CYTOKINESIS	GO:0000910	cytokinesis
GOBP_ASSEMBLY_OF_ACTOMYOSIN_APPARATUS_INVOLVED_IN_CYTOKINESIS	GO:0000912	assembly of actomyosin apparatus involved in cytokinesis
GOCC_SPINDLE_POLE	GO:0000922	spindle pole
GOCC_EQUATORIAL_MICROTUBULE_ORGANIZING_CENTER	GO:0000923	equatorial microtubule organizing center
GOCC_GAMMA_TUBULIN_COMPLEX	GO:0000930	gamma-tubulin complex
GOCC_GAMMA_TUBULIN_LARGE_COMPLEX	GO:0000931	gamma-tubulin large complex
GOCC_P_BODY	GO:0000932	P-body
GOCC_GARP_COMPLEX	GO:0000938	GARP complex
GOCC_CONDENSED_CHROMOSOME_INNER_KINETOCHORE	GO:0000939	condensed chromosome inner kinetochore
GOCC_CONDENSED_CHROMOSOME_OUTER_KINETOCHORE	GO:0000940	condensed chromosome outer kinetochore
GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS	GO:0000956	nuclear-transcribed mRNA catabolic process
GOBP_MITOCHONDRIAL_RNA_CATABOLIC_PROCESS	GO:0000957	mitochondrial RNA catabolic process
GOBP_MITOCHONDRIAL_RNA_METABOLIC_PROCESS	GO:0000959	mitochondrial RNA metabolic process
GOBP_REGULATION_OF_MITOCHONDRIAL_RNA_CATABOLIC_PROCESS	GO:0000960	regulation of mitochondrial RNA catabolic process
GOBP_MITOCHONDRIAL_RNA_PROCESSING	GO:0000963	mitochondrial RNA processing
GOBP_MITOCHONDRIAL_RNA_3_END_PROCESSING	GO:0000965	mitochondrial RNA 3'-end processing
GOBP_RNA_5_END_PROCESSING	GO:0000966	RNA 5'-end processing
GOBP_RRNA_5_END_PROCESSING	GO:0000967	rRNA 5'-end processing
GOBP_TRANSCRIPTION_DEPENDENT_TETHERING_OF_RNA_POLYMERASE_II_GENE_DNA_AT_NUCLEAR_PERIPHERY	GO:0000972	transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery
GOCC_PRP19_COMPLEX	GO:0000974	Prp19 complex
GOMF_RNA_POLYMERASE_II_CORE_PROMOTER_SEQUENCE_SPECIFIC_DNA_BINDING	GO:0000979	RNA polymerase II core promoter sequence-specific DNA binding
GOMF_CIS_REGULATORY_REGION_SEQUENCE_SPECIFIC_DNA_BINDING	GO:0000987	cis-regulatory region sequence-specific DNA binding
GOMF_RNA_POLYMERASE_III_GENERAL_TRANSCRIPTION_INITIATION_FACTOR_ACTIVITY	GO:0000995	RNA polymerase III general transcription initiation factor activity
GOMF_RNA_POLYMERASE_III_TRANSCRIPTION_REGULATORY_REGION_SEQUENCE_SPECIFIC_DNA_BINDING	GO:0001016	RNA polymerase III transcription regulatory region sequence-specific DNA binding
GOMF_RNA_POLYMERASE_I_CORE_BINDING	GO:0001042	RNA polymerase I core binding
GOMF_CORE_PROMOTER_SEQUENCE_SPECIFIC_DNA_BINDING	GO:0001046	core promoter sequence-specific DNA binding
GOMF_RNA_POLYMERASE_II_ACTIVITY	GO:0001055	RNA polymerase II activity
GOMF_RNA_POLYMERASE_II_TRANSCRIPTION_FACTOR_BINDING	GO:0001085	RNA polymerase II transcription factor binding
GOMF_RNA_POLYMERASE_II_GENERAL_TRANSCRIPTION_INITIATION_FACTOR_BINDING	GO:0001091	RNA polymerase II general transcription initiation factor binding
GOMF_TFIID_CLASS_TRANSCRIPTION_FACTOR_COMPLEX_BINDING	GO:0001094	TFIID-class transcription factor complex binding
GOMF_BASAL_TRANSCRIPTION_MACHINERY_BINDING	GO:0001098	basal transcription machinery binding
GOBP_RESPONSE_TO_ACID_CHEMICAL	GO:0001101	response to acid chemical
GOMF_RNA_POLYMERASE_II_ACTIVATING_TRANSCRIPTION_FACTOR_BINDING	GO:0001102	RNA polymerase II activating transcription factor binding
GOMF_RNA_POLYMERASE_II_REPRESSING_TRANSCRIPTION_FACTOR_BINDING	GO:0001103	RNA polymerase II repressing transcription factor binding
GOMF_INTRONIC_TRANSCRIPTION_REGULATORY_REGION_SEQUENCE_SPECIFIC_DNA_BINDING	GO:0001161	intronic transcription regulatory region sequence-specific DNA binding
GOMF_RNA_POLYMERASE_II_INTRONIC_TRANSCRIPTION_REGULATORY_REGION_SEQUENCE_SPECIFIC_DNA_BINDING	GO:0001162	RNA polymerase II intronic transcription regulatory region sequence-specific DNA binding
GOMF_RNA_POLYMERASE_I_TRANSCRIPTION_REGULATORY_REGION_SEQUENCE_SPECIFIC_DNA_BINDING	GO:0001163	RNA polymerase I transcription regulatory region sequence-specific DNA binding
GOMF_RNA_POLYMERASE_I_GENERAL_TRANSCRIPTION_INITIATION_FACTOR_ACTIVITY	GO:0001181	RNA polymerase I general transcription initiation factor activity
GOBP_RNA_POLYMERASE_I_PREINITIATION_COMPLEX_ASSEMBLY	GO:0001188	RNA polymerase I preinitiation complex assembly
GOMF_DNA_BINDING_TRANSCRIPTION_ACTIVATOR_ACTIVITY	GO:0001216	DNA-binding transcription activator activity
GOMF_DNA_BINDING_TRANSCRIPTION_REPRESSOR_ACTIVITY	GO:0001217	DNA-binding transcription repressor activity
GOMF_TRANSCRIPTION_COREGULATOR_BINDING	GO:0001221	transcription coregulator binding
GOMF_TRANSCRIPTION_COREPRESSOR_BINDING	GO:0001222	transcription corepressor binding
GOMF_TRANSCRIPTION_COACTIVATOR_BINDING	GO:0001223	transcription coactivator binding
GOMF_RNA_POLYMERASE_II_TRANSCRIPTION_COREGULATOR_BINDING	GO:0001224	RNA polymerase II transcription coregulator binding
GOMF_RNA_POLYMERASE_II_TRANSCRIPTION_COACTIVATOR_BINDING	GO:0001225	RNA polymerase II transcription coactivator binding
GOMF_RNA_POLYMERASE_II_TRANSCRIPTION_COREPRESSOR_BINDING	GO:0001226	RNA polymerase II transcription corepressor binding
GOBP_FORMATION_OF_EXTRACHROMOSOMAL_CIRCULAR_DNA	GO:0001325	formation of extrachromosomal circular DNA
GOCC_SAM_COMPLEX	GO:0001401	SAM complex
GOCC_PAM_COMPLEX_TIM23_ASSOCIATED_IMPORT_MOTOR	GO:0001405	PAM complex, Tim23 associated import motor
GOBP_SKELETAL_SYSTEM_DEVELOPMENT	GO:0001501	skeletal system development
GOBP_OSSIFICATION	GO:0001503	ossification
GOBP_NEUROTRANSMITTER_UPTAKE	GO:0001504	neurotransmitter uptake
GOBP_REGULATION_OF_NEUROTRANSMITTER_LEVELS	GO:0001505	regulation of neurotransmitter levels
GOBP_ACTION_POTENTIAL	GO:0001508	action potential
GOBP_RNA_METHYLATION	GO:0001510	RNA methylation
GOMF_N_ACETYLGLUCOSAMINE_6_O_SULFOTRANSFERASE_ACTIVITY	GO:0001517	N-acetylglucosamine 6-O-sulfotransferase activity
GOCC_VOLTAGE_GATED_SODIUM_CHANNEL_COMPLEX	GO:0001518	voltage-gated sodium channel complex
GOCC_OUTER_DENSE_FIBER	GO:0001520	outer dense fiber
GOBP_PSEUDOURIDINE_SYNTHESIS	GO:0001522	pseudouridine synthesis
GOCC_MICROFIBRIL	GO:0001527	microfibril
GOMF_LIPOPOLYSACCHARIDE_BINDING	GO:0001530	lipopolysaccharide binding
GOCC_CORNIFIED_ENVELOPE	GO:0001533	cornified envelope
GOCC_RADIAL_SPOKE	GO:0001534	radial spoke
GOMF_N_ACETYLGALACTOSAMINE_4_O_SULFOTRANSFERASE_ACTIVITY	GO:0001537	N-acetylgalactosamine 4-O-sulfotransferase activity
GOBP_CILIUM_OR_FLAGELLUM_DEPENDENT_CELL_MOTILITY	GO:0001539	cilium or flagellum-dependent cell motility
GOMF_AMYLOID_BETA_BINDING	GO:0001540	amyloid-beta binding
GOBP_OVARIAN_FOLLICLE_DEVELOPMENT	GO:0001541	ovarian follicle development
GOBP_OVULATION_FROM_OVARIAN_FOLLICLE	GO:0001542	ovulation from ovarian follicle
GOBP_ANTRAL_OVARIAN_FOLLICLE_GROWTH	GO:0001547	antral ovarian follicle growth
GOBP_LUTEINIZATION	GO:0001553	luteinization
GOBP_LUTEOLYSIS	GO:0001554	luteolysis
GOBP_OOCYTE_MATURATION	GO:0001556	oocyte maturation
GOBP_FATTY_ACID_ALPHA_OXIDATION	GO:0001561	fatty acid alpha-oxidation
GOBP_RESPONSE_TO_PROTOZOAN	GO:0001562	response to protozoan
GOBP_BRANCHING_INVOLVED_IN_BLOOD_VESSEL_MORPHOGENESIS	GO:0001569	branching involved in blood vessel morphogenesis
GOBP_VASCULOGENESIS	GO:0001570	vasculogenesis
GOBP_GANGLIOSIDE_METABOLIC_PROCESS	GO:0001573	ganglioside metabolic process
GOBP_GANGLIOSIDE_BIOSYNTHETIC_PROCESS	GO:0001574	ganglioside biosynthetic process
GOBP_MICROTUBULE_BUNDLE_FORMATION	GO:0001578	microtubule bundle formation
GOMF_TRACE_AMINE_RECEPTOR_ACTIVITY	GO:0001594	trace-amine receptor activity
GOMF_G_PROTEIN_COUPLED_ADENOSINE_RECEPTOR_ACTIVITY	GO:0001609	G protein-coupled adenosine receptor activity
